0;0;0;0;x;x
1;42;3;128;land1;x
2;84;6;1;land2;x
3;126;9;129;land3;x
4;168;12;2;land4;x
5;0;15;130;land5;x
6;168;45;177;land6;x
7;84;21;131;land7;x
8;126;24;4;land8;x
9;168;27;132;land9;x
10;0;30;5;land10;x
11;42;33;133;land11;x
12;84;36;6;land12;x
13;126;39;134;land13;x
14;168;42;7;land14;x
15;0;45;135;land15;x
16;42;48;8;land16;x
17;84;51;136;land17;x
18;126;54;9;land18;x
19;168;57;137;land19;x
20;0;60;10;land20;x
21;42;63;138;land21;x
22;84;66;11;land22;x
23;126;69;139;land23;x
24;168;72;12;land24;x
25;0;75;140;land25;x
26;42;78;13;land26;x
27;126;84;14;land27;x
28;84;81;141;land28;x
29;168;87;142;land29;x
30;0;90;15;land30;x
31;42;93;143;land31;x
32;84;96;16;land32;x
33;126;99;144;land33;x
34;168;102;17;land34;x
35;0;105;145;land35;x
36;42;108;18;land36;x
37;84;111;146;land37;x
38;126;114;19;land38;x
39;168;117;147;land39;x
40;0;120;20;land40;x
41;42;123;148;land41;x
42;84;126;21;land42;x
43;126;129;149;land43;x
44;168;132;22;land44;x
45;0;135;150;land45;x
46;42;138;23;land46;x
47;84;141;151;land47;x
48;126;144;24;land48;x
49;168;147;152;land49;x
50;0;150;25;land50;x
51;42;153;153;land51;x
52;84;156;26;land52;x
53;126;159;154;land53;x
54;168;162;27;land54;x
55;0;165;155;land55;x
56;42;168;28;land56;x
57;84;171;156;land57;x
58;126;174;29;land58;x
59;168;177;157;land59;x
60;0;180;30;land60;x
61;42;183;158;land61;x
62;84;186;31;land62;x
63;126;189;159;land63;x
64;168;192;32;land64;x
65;0;195;160;land65;x
66;42;198;33;land66;x
67;84;201;161;land67;x
68;126;204;34;land68;x
69;168;207;162;land69;x
70;0;210;35;land70;x
71;42;0;163;land71;x
72;84;3;36;land72;x
73;126;6;164;land73;x
74;168;9;37;land74;x
75;0;12;165;land75;x
76;42;15;38;land76;x
77;84;18;166;land77;x
78;126;21;39;land78;x
79;168;24;167;land79;x
80;0;27;40;land80;x
81;42;30;168;land81;x
82;84;33;41;land82;x
83;126;36;169;land83;x
84;168;39;42;land84;x
85;0;42;170;land85;x
86;42;45;43;land86;x
87;84;48;171;land87;x
88;126;51;44;land88;x
89;168;54;172;land89;x
90;0;57;45;land90;x
91;42;60;173;land91;x
92;84;63;46;land92;x
93;126;66;174;land93;x
94;168;69;47;land94;x
95;0;72;175;land95;x
96;42;75;48;land96;x
97;84;78;176;land97;x
98;126;81;49;land98;x
99;168;84;177;land99;x
100;0;87;50;land100;x
101;42;90;178;land101;x
102;84;93;51;land102;x
103;126;96;179;land103;x
104;168;99;52;land104;x
105;0;102;180;land105;x
106;42;105;53;land106;x
107;84;108;181;land107;x
108;126;111;54;land108;x
109;168;114;182;land109;x
110;0;117;55;land110;x
111;42;120;183;land111;x
112;84;123;56;land112;x
113;126;126;184;land113;x
114;168;129;57;land114;x
115;0;132;185;land115;x
116;42;135;58;land116;x
117;84;138;186;land117;x
118;126;141;59;land118;x
119;168;144;187;land119;x
120;0;147;60;land120;x
121;42;150;188;land121;x
122;84;153;61;land122;x
123;126;156;189;land123;x
124;168;159;62;land124;x
125;0;162;190;land125;x
126;42;165;63;land126;x
127;84;168;191;land127;x
128;126;171;64;land128;x
129;168;174;192;land129;x
130;0;177;65;land130;x
131;42;180;193;land131;x
132;84;183;66;land132;x
133;126;186;194;land133;x
134;168;189;67;land134;x
135;0;192;195;land135;x
136;42;195;68;land136;x
137;84;198;196;land137;x
138;126;201;69;land138;x
139;168;204;197;land139;x
140;0;207;70;land140;x
141;42;210;198;land141;x
142;84;0;71;land142;x
143;126;3;199;land143;x
144;168;6;72;land144;x
145;0;9;200;land145;x
146;42;12;73;land146;x
147;84;15;201;land147;x
148;126;18;74;land148;x
149;168;21;202;land149;x
150;0;24;75;land150;x
151;42;27;203;land151;x
152;84;30;76;land152;x
153;126;33;204;land153;x
154;168;36;77;land154;x
155;0;39;205;land155;x
156;42;42;78;land156;x
157;84;45;206;land157;x
158;126;48;79;land158;x
159;168;51;207;land159;x
160;0;54;80;land160;x
161;42;57;208;land161;x
162;84;60;81;land162;x
163;126;63;209;land163;x
164;168;66;82;land164;x
165;0;69;210;land165;x
166;42;72;83;land166;x
167;84;75;211;land167;x
168;126;78;84;land168;x
169;168;81;212;land169;x
170;0;84;85;land170;x
171;42;87;213;land171;x
172;84;90;86;land172;x
173;126;93;214;land173;x
174;168;96;87;land174;x
175;0;99;215;land175;x
176;42;102;88;land176;x
177;84;105;216;land177;x
178;126;108;89;land178;x
179;168;111;217;land179;x
180;0;114;90;land180;x
181;42;117;218;land181;x
182;84;120;91;land182;x
183;126;123;219;land183;x
184;168;126;92;land184;x
185;0;129;220;land185;x
186;42;132;93;land186;x
187;84;135;221;land187;x
188;126;138;94;land188;x
189;168;141;222;land189;x
190;0;144;95;land190;x
191;42;147;223;land191;x
192;84;150;96;land192;x
193;126;153;224;land193;x
194;168;156;97;land194;x
195;0;159;225;land195;x
196;42;162;98;land196;x
197;84;165;226;land197;x
198;126;168;99;land198;x
199;168;171;227;land199;x
200;0;174;0;land200;x
201;42;177;128;land201;x
202;84;180;1;land202;x
203;126;183;129;land203;x
204;168;186;2;land204;x
205;0;189;130;land205;x
206;42;192;3;land206;x
207;84;195;131;land207;x
208;126;198;4;land208;x
209;168;201;132;land209;x
210;0;204;5;land210;x
211;42;207;133;land211;x
212;84;210;6;land212;x
213;126;0;134;land213;x
214;168;3;7;land214;x
215;0;6;135;land215;x
216;42;9;8;land216;x
217;84;12;136;land217;x
218;126;15;9;land218;x
219;168;18;137;land219;x
220;0;21;10;land220;x
221;42;24;138;land221;x
222;84;27;11;land222;x
223;126;30;139;land223;x
224;168;33;12;land224;x
225;0;36;140;land225;x
226;42;39;13;land226;x
227;84;42;141;land227;x
228;126;45;14;land228;x
229;168;48;142;land229;x
230;0;51;15;land230;x
231;42;54;143;land231;x
232;84;57;16;land232;x
233;126;60;144;land233;x
234;168;63;17;land234;x
235;0;66;145;land235;x
236;42;69;18;land236;x
237;84;72;146;land237;x
238;126;75;19;land238;x
239;168;78;147;land239;x
240;0;81;20;land240;x
241;42;84;148;land241;x
242;84;87;21;land242;x
243;126;138;49;land243;x
244;168;93;22;land244;x
245;0;96;150;land245;x
246;42;99;23;land246;x
247;84;102;151;land247;x
248;126;105;24;land248;x
249;168;108;152;land249;x
